Fecha,Estacion,Hora,Pasajeros,Tiempo_espera_min,Puntual,Clima,Demanda_alta,Es_hora_pico
2024-04-01,Est_1,6,116,5.971532807151039,1,Soleado,1,Si
2024-04-01,Est_1,9,83,9.284544784612038,0,Lluvia,0,No
2024-04-01,Est_1,12,90,6.304873460781307,1,Nublado,0,No
2024-04-01,Est_1,15,78,6.301405369644614,1,Soleado,0,No
2024-04-01,Est_1,18,113,7.198473153382331,1,Nublado,1,Si
2024-04-01,Est_1,21,82,6.661335549270197,1,Soleado,0,No
2024-04-01,Est_2,6,113,4.097440081655905,1,Soleado,1,Si
2024-04-01,Est_2,9,73,9.778417276763406,1,Nublado,0,No
2024-04-01,Est_2,12,81,8.107699869993116,0,Soleado,0,No
2024-04-01,Est_2,15,59,7.257052421784956,1,Soleado,0,No
2024-04-01,Est_2,18,132,5.515427434352692,1,Lluvia,1,Si
2024-04-01,Est_2,21,88,4.355439766955899,0,Lluvia,0,No
2024-04-01,Est_3,6,127,3.741173715166042,1,Nublado,1,Si
2024-04-01,Est_3,9,75,6.5361814362231785,1,Soleado,0,No
2024-04-01,Est_3,12,86,6.891984817629499,1,Nublado,0,No
2024-04-01,Est_3,15,87,8.505299346838036,1,Soleado,0,No
2024-04-01,Est_3,18,121,5.130570602357257,1,Nublado,1,Si
2024-04-01,Est_3,21,94,6.551488974301199,1,Nublado,0,No
2024-04-01,Est_4,6,111,3.787259595660218,1,Lluvia,1,Si
2024-04-01,Est_4,9,83,6.247364434623195,1,Soleado,0,No
2024-04-01,Est_4,12,93,5.946920359183972,1,Soleado,0,No
2024-04-01,Est_4,15,89,6.508506780103348,0,Nublado,0,No
2024-04-01,Est_4,18,117,4.485928225209846,1,Soleado,1,Si
2024-04-01,Est_4,21,80,5.796584096167572,1,Lluvia,0,No
2024-04-01,Est_5,6,149,2.1218431770514377,1,Soleado,1,Si
2024-04-01,Est_5,9,83,6.960229186826175,0,Soleado,0,No
2024-04-01,Est_5,12,94,6.947932345442135,1,Soleado,0,No
2024-04-01,Est_5,15,85,5.246982943570702,1,Nublado,0,No
2024-04-01,Est_5,18,116,5.880285640700405,0,Lluvia,1,Si
2024-04-01,Est_5,21,75,10.285683438714967,0,Nublado,0,No
2024-04-01,Est_6,6,126,2.6740048534008007,1,Soleado,1,Si
2024-04-01,Est_6,9,85,7.102844462209041,1,Soleado,0,No
2024-04-01,Est_6,12,76,8.220275826054504,1,Nublado,0,No
2024-04-01,Est_6,15,81,5.153703525349068,0,Lluvia,0,No
2024-04-01,Est_6,18,137,3.144573933682877,1,Lluvia,1,Si
2024-04-01,Est_6,21,93,5.019315080373586,1,Soleado,0,No
2024-04-01,Est_7,6,108,5.439608709948022,0,Soleado,1,Si
2024-04-01,Est_7,9,81,5.928472872960448,1,Soleado,0,No
2024-04-01,Est_7,12,86,8.737893368511106,1,Lluvia,0,No
2024-04-01,Est_7,15,84,5.7689765224724345,0,Soleado,0,No
2024-04-01,Est_7,18,112,4.884347435878844,1,Nublado,1,Si
2024-04-01,Est_7,21,88,7.511727962224966,1,Soleado,0,No
2024-04-01,Est_8,6,109,3.3936612529083314,1,Lluvia,1,Si
2024-04-01,Est_8,9,95,7.723708622864778,0,Lluvia,0,No
2024-04-01,Est_8,12,78,5.729809422897393,1,Soleado,0,No
2024-04-01,Est_8,15,70,4.727729162971203,1,Nublado,0,No
2024-04-01,Est_8,18,122,5.087313077669,1,Nublado,1,Si
2024-04-01,Est_8,21,85,5.2855445532540655,1,Soleado,0,No
2024-04-01,Est_9,6,131,5.772571529459071,1,Nublado,1,Si
2024-04-01,Est_9,9,85,12.779097235982082,1,Soleado,0,No
2024-04-01,Est_9,12,77,6.2719546782563445,1,Nublado,0,No
2024-04-01,Est_9,15,74,7.122811209079484,0,Soleado,0,No
2024-04-01,Est_9,18,132,5.096420028643194,1,Soleado,1,Si
2024-04-01,Est_9,21,83,5.38338283310604,0,Nublado,0,No
2024-04-01,Est_10,6,121,1.962286120013589,1,Soleado,1,Si
2024-04-01,Est_10,9,78,7.279681472154142,0,Lluvia,0,No
2024-04-01,Est_10,12,90,5.199555389416336,1,Soleado,0,No
2024-04-01,Est_10,15,81,6.498248146238577,1,Soleado,0,No
2024-04-01,Est_10,18,122,2.72094505106898,1,Nublado,1,Si
2024-04-01,Est_10,21,59,6.273648890700623,1,Nublado,0,No
2024-04-02,Est_1,6,119,0.1380989898963909,1,Soleado,1,Si
2024-04-02,Est_1,9,77,5.463418537998566,1,Soleado,0,No
2024-04-02,Est_1,12,77,8.74474562823244,1,Soleado,0,No
2024-04-02,Est_1,15,63,7.015349591529381,0,Nublado,0,No
2024-04-02,Est_1,18,142,7.379025224218028,1,Nublado,1,Si
2024-04-02,Est_1,21,98,5.143276751759727,1,Lluvia,0,No
2024-04-02,Est_2,6,109,5.421487801602549,0,Soleado,1,Si
2024-04-02,Est_2,9,90,6.065950720269109,1,Soleado,0,No
2024-04-02,Est_2,12,68,8.349399813149876,1,Lluvia,0,No
2024-04-02,Est_2,15,74,7.460949281314914,1,Lluvia,0,No
2024-04-02,Est_2,18,116,5.820646071755057,1,Soleado,1,Si
2024-04-02,Est_2,21,87,6.696711021349159,1,Lluvia,0,No
2024-04-02,Est_3,6,120,6.022929456942446,1,Soleado,1,Si
2024-04-02,Est_3,9,94,6.534599865109816,1,Lluvia,0,No
2024-04-02,Est_3,12,100,5.772668975149792,1,Soleado,0,No
2024-04-02,Est_3,15,85,10.138580913528193,1,Nublado,0,No
2024-04-02,Est_3,18,102,5.113706837290589,1,Lluvia,1,Si
2024-04-02,Est_3,21,76,5.984257432731832,1,Nublado,0,No
2024-04-02,Est_4,6,124,5.367449856663084,0,Lluvia,1,Si
2024-04-02,Est_4,9,86,6.239585236943306,0,Lluvia,0,No
2024-04-02,Est_4,12,77,5.922333668121346,1,Nublado,0,No
2024-04-02,Est_4,15,78,6.6798292724322295,1,Soleado,0,No
2024-04-02,Est_4,18,97,5.484077840507134,1,Nublado,0,Si
2024-04-02,Est_4,21,104,5.759153584671516,1,Lluvia,1,No
2024-04-02,Est_5,6,100,5.036765261388414,1,Nublado,0,Si
2024-04-02,Est_5,9,79,7.746997436868175,1,Lluvia,0,No
2024-04-02,Est_5,12,59,10.28470439982651,1,Soleado,0,No
2024-04-02,Est_5,15,79,5.787552571967273,1,Soleado,0,No
2024-04-02,Est_5,18,126,6.425635757279076,1,Soleado,1,Si
2024-04-02,Est_5,21,94,6.134644516506396,1,Nublado,0,No
2024-04-02,Est_6,6,124,6.769160181081931,1,Soleado,1,Si
2024-04-02,Est_6,9,82,6.296236521842943,1,Lluvia,0,No
2024-04-02,Est_6,12,90,4.608358511808449,0,Lluvia,0,No
2024-04-02,Est_6,15,91,6.1009374655693405,1,Soleado,0,No
2024-04-02,Est_6,18,146,6.067422317133335,1,Soleado,1,Si
2024-04-02,Est_6,21,67,5.313036862243196,1,Nublado,0,No
2024-04-02,Est_7,6,121,8.09112188732298,1,Soleado,1,Si
2024-04-02,Est_7,9,68,9.633011263664809,1,Nublado,0,No
2024-04-02,Est_7,12,85,8.587636730274381,1,Soleado,0,No
2024-04-02,Est_7,15,94,4.361890770365329,1,Nublado,0,No
2024-04-02,Est_7,18,117,2.444926340967268,1,Lluvia,1,Si
2024-04-02,Est_7,21,80,6.916678451655072,1,Soleado,0,No
2024-04-02,Est_8,6,100,5.549897369145272,1,Soleado,0,Si
2024-04-02,Est_8,9,93,5.590180320508967,1,Soleado,0,No
2024-04-02,Est_8,12,71,6.204613572441339,1,Soleado,0,No
2024-04-02,Est_8,15,68,5.810690751606484,1,Soleado,0,No
2024-04-02,Est_8,18,120,3.9504117380111214,1,Lluvia,1,Si
2024-04-02,Est_8,21,62,7.320969866101333,1,Nublado,0,No
2024-04-02,Est_9,6,109,4.587422454272534,1,Soleado,1,Si
2024-04-02,Est_9,9,79,3.547118252896623,0,Soleado,0,No
2024-04-02,Est_9,12,80,6.80812361277885,1,Soleado,0,No
2024-04-02,Est_9,15,74,5.566689339099361,0,Soleado,0,No
2024-04-02,Est_9,18,110,7.530712452608848,1,Soleado,1,Si
2024-04-02,Est_9,21,65,8.322459635424176,1,Nublado,0,No
2024-04-02,Est_10,6,118,3.686572619922864,1,Nublado,1,Si
2024-04-02,Est_10,9,83,4.925800403553496,1,Soleado,0,No
2024-04-02,Est_10,12,73,6.111409113641696,1,Lluvia,0,No
2024-04-02,Est_10,15,65,5.704013845480276,1,Lluvia,0,No
2024-04-02,Est_10,18,104,4.134843004147501,1,Nublado,1,Si
2024-04-02,Est_10,21,96,8.133086838738635,1,Soleado,0,No
2024-04-03,Est_1,6,129,3.855111265186225,1,Soleado,1,Si
2024-04-03,Est_1,9,67,4.292676849003222,1,Nublado,0,No
2024-04-03,Est_1,12,69,6.022245838296762,1,Soleado,0,No
2024-04-03,Est_1,15,75,7.071098006974621,1,Nublado,0,No
2024-04-03,Est_1,18,129,1.292533249809066,1,Lluvia,1,Si
2024-04-03,Est_1,21,68,5.804657116794285,1,Soleado,0,No
2024-04-03,Est_2,6,99,6.751673092489711,1,Nublado,0,Si
2024-04-03,Est_2,9,71,7.381631264951819,1,Lluvia,0,No
2024-04-03,Est_2,12,84,8.306687055147538,1,Lluvia,0,No
2024-04-03,Est_2,15,78,6.510964701748239,1,Soleado,0,No
2024-04-03,Est_2,18,128,5.490391060646244,1,Nublado,1,Si
2024-04-03,Est_2,21,94,6.671349206786704,1,Lluvia,0,No
